date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:43:31	196661/196661	---M-Z	200	added ('OK')	text/html	etag:%22951621e79f28e6d35dcafa37a7ce24a5%22	https://solange.io/	C:/My%20Web%20Sites/first%20test/solange.io/index.html	(from )
02:43:31	83/83	---M-Z	200	added ('OK')	text/plain	etag:%2244fa87b153d10c07383d10f1d6b97fc2%22	https://solange.io/robots.txt		(from )
02:43:32	16669/16669	---MC-	200	added ('OK')	image/png	etag:%22e4ce785663374abba6a336a025c8ceb0%22	https://framerusercontent.com/images/BfWJl1r8oJskXAtMW6eWor4eWt8.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/BfWJl1r8oJskXAtMW6eWor4eWt8.png	(from https://solange.io/)
02:43:32	21058/21058	---MC-	200	added ('OK')	image/png	etag:%22480f993db259ec2bfa39b1e4d5f80093%22	https://framerusercontent.com/images/kSD5jxsYs1XjwIhA7wJG06330.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/kSD5jxsYs1XjwIhA7wJG06330.png	(from https://solange.io/)
02:43:33	108409/108409	---M-Z	200	added ('OK')	text/html	etag:%22dbc412a37bad10f2dfef051edecb3bdf%22	https://solange.io/articles	C:/My%20Web%20Sites/first%20test/solange.io/articles.html	(from https://solange.io/)
02:43:34	109261/109261	---M-Z	200	added ('OK')	text/html	etag:%226ac9616df64ca817d51898b0054ffbce%22	https://solange.io/projects	C:/My%20Web%20Sites/first%20test/solange.io/projects.html	(from https://solange.io/)
02:43:34	2827/2827	---MC-	200	added ('OK')	image/png	etag:%226b71bad0ca81f9f268dd9c22723c7fab%22	https://framerusercontent.com/images/WXwwArEbCEXxVkbbiaI5FD2o.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/WXwwArEbCEXxVkbbiaI5FD2o.png	(from https://solange.io/)
02:43:34	256772/256772	---MC-	200	added ('OK')	image/png	etag:%22133ce372a232819605c044c699eafced%22	https://framerusercontent.com/images/VjXwsOiXF5toyIHzLt5G9vsgE4.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/VjXwsOiXF5toyIHzLt5G9vsgE4.png	(from https://solange.io/)
02:43:35	4465557/4465557	---MC-	200	added ('OK')	image/gif	etag:%228002990f273aeeb67f29d530d7315917%22	https://framerusercontent.com/images/OQTcGh3BNEoHWXGEwHntRGlXwNI.gif	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/OQTcGh3BNEoHWXGEwHntRGlXwNI.gif	(from https://solange.io/)
02:43:35	4142/4142	---MC-	200	added ('OK')	image/png	etag:%22bc24580d997f4cd8fb09065621c83045%22	https://framerusercontent.com/images/VGVw1EwjQLZl6pC2cuDpxDZ9ON8.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/VGVw1EwjQLZl6pC2cuDpxDZ9ON8.png	(from https://solange.io/articles)
02:43:35	8205/8205	---MC-	200	added ('OK')	image/png	etag:%22b10684382114007a6779742392d58dad%22	https://framerusercontent.com/images/Ldr2dDCgSM5ZKkGtUXuidvxgZKs.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/Ldr2dDCgSM5ZKkGtUXuidvxgZKs.png	(from https://solange.io/articles)
02:43:35	952690/952690	---MC-	200	added ('OK')	image/gif	etag:%226dba309d3d20bd0e351cfd2d98693b3a%22	https://framerusercontent.com/images/lkf1pUqh8nqlwLA2yaIgwL854.gif	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/lkf1pUqh8nqlwLA2yaIgwL854.gif	(from https://solange.io/)
02:43:35	3929/3929	---MC-	200	added ('OK')	image/png	etag:%221264ef0443ffb44d191b71b996d36a6c%22	https://framerusercontent.com/images/WKx7owLIhKeIM91w6yP47nuiBY.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/WKx7owLIhKeIM91w6yP47nuiBY.png	(from https://solange.io/articles)
02:43:36	3142/3142	---MC-	200	added ('OK')	image/png	etag:%22a99c7425202125e14c98888462aa4340%22	https://framerusercontent.com/images/fQ5rMrt8q2kcqg6RIDLMYPGr54U.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/fQ5rMrt8q2kcqg6RIDLMYPGr54U.png	(from https://solange.io/articles)
02:43:36	2580/2580	---MC-	200	added ('OK')	image/png	etag:%2276871d46aa81bbee29debb73a0769c8f%22	https://framerusercontent.com/images/s7LOayVOii7hfuiTSj0suaqGLew.png	C:/My%20Web%20Sites/first%20test/framerusercontent.com/images/s7LOayVOii7hfuiTSj0suaqGLew.png	(from https://solange.io/projects)
